date,forecast,forecast_lower,forecast_upper
2025-12-01,156.9364465991612,128.44692254239996,184.89178342547035
2025-12-02,168.05709043934297,136.39888516156427,199.10424614370342
2025-12-03,169.5752726555196,142.18479861320318,197.49824284105972
2025-12-04,163.27499399561356,131.98570847026272,194.3675279351949
2025-12-05,150.91525431965627,122.09679599631954,180.32167380600097
2025-12-06,144.7684727245076,114.17680177003929,174.85547388146557
2025-12-07,147.9126042695322,116.74213906491005,175.59250879575995
2025-12-08,158.91983541331183,129.34371968428445,187.24015810178963
2025-12-09,170.24947227448476,139.4409960179796,198.96773256772488
2025-12-10,171.99831091645345,141.32143393012825,200.24416672446574
2025-12-11,165.94564168806326,138.02331497800978,195.51587518869692
2025-12-12,153.84505360095275,125.00404872705221,183.7671908773324
2025-12-13,147.9638116821982,117.61044643431794,176.5030835402554
2025-12-14,151.37356852517155,122.94838148851699,182.17217499516096
2025-12-15,162.63958807222448,133.49703061382937,190.86408208245618
2025-12-16,174.21367672623526,145.50543647837364,203.75489845230925
2025-12-17,176.18502360731088,144.15481793124394,204.94542503688743
2025-12-18,170.32648592626919,141.95229895174126,196.86104482487102
2025-12-19,158.3856447141511,127.88738739317036,189.30895479920073
2025-12-20,152.62517603754046,123.75810078076418,181.02603247611103
2025-12-21,156.11216430856956,128.18060103890707,186.71037258814192
2025-12-22,167.40783121185495,139.74408725009337,197.38450360051758
2025-12-23,178.9604566781553,150.78028544842223,208.26219779822455
2025-12-24,180.8566074678795,151.84531270411608,212.56713511492484
2025-12-25,174.86859515520837,144.6917432581391,203.60064841594135
2025-12-26,162.74465059754974,133.06783657258708,193.2745732412666
2025-12-27,156.75013543651693,127.91769956678083,188.5979466496753
2025-12-28,159.95528640909504,130.36338848474804,190.4192506605476
2025-12-29,170.9252657209997,139.79163369814336,198.61519843090844
2025-12-30,182.11287984038347,151.89159614975753,211.922498255409
